,missing_count,missing_pct
CANCELLATION_REASON,48862,97.72
WEATHER_DELAY,34592,69.18
LATE_AIRCRAFT_DELAY,34592,69.18
AIRLINE_DELAY,34592,69.18
SECURITY_DELAY,34592,69.18
AIR_SYSTEM_DELAY,34592,69.18
AIR_TIME,1247,2.49
ARRIVAL_DELAY,1247,2.49
ELAPSED_TIME,1247,2.49
WHEELS_ON,1161,2.32
TAXI_IN,1161,2.32
ARRIVAL_TIME,1161,2.32
TAXI_OUT,1127,2.25
WHEELS_OFF,1127,2.25
DEPARTURE_DELAY,1104,2.21
DEPARTURE_TIME,1104,2.21
TAIL_NUMBER,59,0.12
SCHEDULED_DEPARTURE,0,0.0
CANCELLED,0,0.0
DAY,0,0.0
DAY_OF_WEEK,0,0.0
AIRLINE,0,0.0
FLIGHT_NUMBER,0,0.0
SCHEDULED_ARRIVAL,0,0.0
DIVERTED,0,0.0
ORIGIN_AIRPORT,0,0.0
DISTANCE,0,0.0
DESTINATION_AIRPORT,0,0.0
MONTH,0,0.0
SCHEDULED_TIME,0,0.0
YEAR,0,0.0
